query_id,protein_name,organism,e-value,score
NP_001358330.1, 28S ribosomal protein S2,Homo sapiens,0.0,1586.0
XP_003816986.1, 28S ribosomal protein S2,Pan paniscus,0.0,1564.0
XP_520354.4, 28S ribosomal protein S2,Pan troglodytes,0.0,1558.0
XP_004048894.3, 28S ribosomal protein S2,Gorilla gorilla gorilla,0.0,1532.0
XP_024107902.1, 28S ribosomal protein S2,Pongo abelii,0.0,1500.0
XP_032021494.1, 28S ribosomal protein S2,Hylobates moloch,0.0,1482.0
XP_030674014.1, 28S ribosomal protein S2,Nomascus leucogenys,0.0,1471.0
XP_032021495.1, 28S ribosomal protein S2,Hylobates moloch,0.0,1463.0
XP_033094491.1, 28S ribosomal protein S2,Trachypithecus francoisi,0.0,1448.0
XP_017704197.1, PREDICTED: 28S ribosomal protein S2,Rhinopithecus bieti,0.0,1445.0
XP_030775285.1, 28S ribosomal protein S2,Rhinopithecus roxellana,0.0,1439.0
XP_008003896.2, 28S ribosomal protein S2,Chlorocebus sabaeus,0.0,1433.0
XP_023083368.1, 28S ribosomal protein S2,Piliocolobus tephrosceles,0.0,1430.0
XP_033094489.1, 28S ribosomal protein S2,Trachypithecus francoisi,0.0,1429.0
XP_017704206.1, PREDICTED: 28S ribosomal protein S2,Rhinopithecus bieti,0.0,1428.0
XP_017704196.1, PREDICTED: 28S ribosomal protein S2,Rhinopithecus bieti,0.0,1427.0
XP_030775284.1, 28S ribosomal protein S2,Rhinopithecus roxellana,0.0,1419.0
XP_025215563.1, 28S ribosomal protein S2,Theropithecus gelada,0.0,1417.0
XP_023083367.1, 28S ribosomal protein S2,Piliocolobus tephrosceles,0.0,1410.0
XP_002743530.3, 28S ribosomal protein S2,Callithrix jacchus,0.0,1406.0
XP_031510550.1, 28S ribosomal protein S2,Papio anubis,0.0,1406.0
XP_014971873.2, 28S ribosomal protein S2,Macaca mulatta,0.0,1404.0
XP_011722999.1, 28S ribosomal protein S2,Macaca nemestrina,0.0,1401.0
XP_005580524.1, PREDICTED: 28S ribosomal protein S2,Macaca fascicularis,0.0,1400.0
XP_025215564.1, 28S ribosomal protein S2,Theropithecus gelada,0.0,1399.0
XP_011904092.1, PREDICTED: 28S ribosomal protein S2,Cercocebus atys,0.0,1398.0
XP_025215562.1, 28S ribosomal protein S2,Theropithecus gelada,0.0,1398.0
XP_005580524.2, 28S ribosomal protein S2,Macaca fascicularis,0.0,1397.0
XP_017368553.1, 28S ribosomal protein S2,Cebus imitator,0.0,1396.0
XP_039317433.1, 28S ribosomal protein S2,Saimiri boliviensis boliviensis,0.0,1388.0
XP_011812708.1, PREDICTED: 28S ribosomal protein S2,Colobus angolensis palliatus,0.0,1377.0
XP_032117820.1, 28S ribosomal protein S2,Sapajus apella,0.0,1373.0
XP_012495325.1, PREDICTED: 28S ribosomal protein S2,Propithecus coquereli,2.21381e-176,1285.0
XP_012637545.1, 28S ribosomal protein S2,Microcebus murinus,1.4436e-169,1240.0
XP_045418572.1, 28S ribosomal protein S2,Lemur catta,1.83355e-168,1233.0
XP_021527067.1, 28S ribosomal protein S2,Aotus nancymaae,6.98127e-168,1233.0
XP_023598400.1, 28S ribosomal protein S2,Trichechus manatus latirostris,1.68344e-166,1219.0
XP_009003462.2, 28S ribosomal protein S2,Callithrix jacchus,1.62787e-165,1206.0
XP_020014731.1, 28S ribosomal protein S2,Castor canadensis,9.53645e-165,1206.0
XP_025215565.1, 28S ribosomal protein S2,Theropithecus gelada,1.61571e-164,1200.0
XP_036983712.1, 28S ribosomal protein S2,Artibeus jamaicensis,2.56263e-164,1202.0
XP_049752331.1, 28S ribosomal protein S2,Elephas maximus indicus,6.72049e-164,1198.0
XP_015291712.1, PREDICTED: 28S ribosomal protein S2,Macaca fascicularis,2.56584e-163,1194.0
XP_036710499.1, 28S ribosomal protein S2,Balaenoptera musculus,2.9162e-163,1196.0
XP_015291712.2, 28S ribosomal protein S2,Macaca fascicularis,4.43827e-163,1192.0
XP_012394213.1, 28S ribosomal protein S2,Orcinus orca,8.62714e-163,1193.0
XP_026960207.1, 28S ribosomal protein S2,Lagenorhynchus obliquidens,1.0168e-162,1193.0
XP_042638680.1, 28S ribosomal protein S2,Orycteropus afer afer,1.3519e-162,1192.0
XP_014637794.1, PREDICTED: LOW QUALITY PROTEIN: 28S ribosomal protein S2,Ceratotherium simum simum,1.43457e-162,1201.0
XP_017368554.1, 28S ribosomal protein S2,Cebus imitator,2.26223e-162,1186.0
XP_033714865.1, 28S ribosomal protein S2,Tursiops truncatus,5.55549e-162,1188.0
XP_030694301.1, 28S ribosomal protein S2,Globicephala melas,5.67856e-162,1188.0
XP_023973097.1, 28S ribosomal protein S2,Physeter catodon,1.10782e-161,1186.0
XP_049486762.1, 28S ribosomal protein S2,Panthera uncia,1.47444e-161,1186.0
XP_022434015.1, 28S ribosomal protein S2,Delphinapterus leucas,2.11764e-161,1184.0
XP_024617871.1, 28S ribosomal protein S2,Neophocaena asiaeorientalis asiaeorientalis,3.94796e-161,1182.0
XP_030149685.1, 28S ribosomal protein S2,Lynx canadensis,4.68904e-161,1181.0
XP_036162862.1, 28S ribosomal protein S2,Myotis myotis,1.6452e-160,1178.0
XP_046949748.1, 28S ribosomal protein S2,Lynx rufus,2.05794e-160,1177.0
XP_003795026.2, 28S ribosomal protein S2,Otolemur garnettii,2.11328e-160,1177.0
XP_032117822.1, 28S ribosomal protein S2,Sapajus apella,3.03046e-160,1172.0
XP_019290531.1, PREDICTED: 28S ribosomal protein S2,Panthera pardus,1.10379e-159,1174.0
XP_023485062.1, 28S ribosomal protein S2,Equus caballus,2.62524e-158,1162.0
XP_004483254.1, 28S ribosomal protein S2,Dasypus novemcinctus,3.69928e-158,1163.0
XP_029059735.1, 28S ribosomal protein S2,Monodon monoceros,6.71677e-158,1163.0
XP_008842161.1, 28S ribosomal protein S2,Nannospalax galili,6.91681e-158,1160.0
XP_026251347.1, 28S ribosomal protein S2,Urocitellus parryii,2.0526e-157,1157.0
XP_035945177.1, 28S ribosomal protein S2,Halichoerus grypus,2.46455e-157,1157.0
XP_039729033.1, 28S ribosomal protein S2,Pteropus giganteus,3.3484e-157,1158.0
XP_027792196.1, 28S ribosomal protein S2,Marmota flaviventris,4.09308e-157,1155.0
XP_019290530.1, PREDICTED: 28S ribosomal protein S2,Panthera pardus,8.40503e-157,1156.0
XP_024418017.1, 28S ribosomal protein S2,Desmodus rotundus,9.54436e-157,1152.0
XP_032334801.1, 28S ribosomal protein S2,Camelus ferus,9.60841e-157,1154.0
XP_023098709.1, 28S ribosomal protein S2,Felis catus,1.0016e-156,1153.0
XP_007453199.1, PREDICTED: 28S ribosomal protein S2,Lipotes vexillifer,1.04039e-156,1155.0
XP_043421093.1, 28S ribosomal protein S2,Prionailurus bengalensis,1.46962e-156,1152.0
XP_022434014.1, 28S ribosomal protein S2,Delphinapterus leucas,1.50972e-156,1154.0
XP_042820796.1, 28S ribosomal protein S2,Panthera tigris,3.81691e-156,1151.0
XP_036892567.1, 28S ribosomal protein S2,Sturnira hondurensis,3.9149e-156,1149.0
XP_026907499.1, 28S ribosomal protein S2,Acinonyx jubatus,4.29956e-156,1148.0
XP_010952759.2, 28S ribosomal protein S2,Camelus bactrianus,5.24767e-156,1149.0
XP_032274404.1, 28S ribosomal protein S2,Phoca vitulina,7.11638e-156,1147.0
