query_id,protein_name,organism,e-value,score
NP_114403.1, 28S ribosomal protein S24,Homo sapiens,8.18165e-121,889.0
XP_004045407.1, 28S ribosomal protein S24,Gorilla gorilla gorilla,1.63722e-119,881.0
XP_003268895.1, 28S ribosomal protein S24,Nomascus leucogenys,2.3777600000000002e-119,880.0
XP_001135905.1, 28S ribosomal protein S24,Pan troglodytes,2.3777600000000002e-119,880.0
XP_024105201.1, 28S ribosomal protein S24,Pongo abelii,4.08003e-118,872.0
XP_032614126.1, 28S ribosomal protein S24,Hylobates moloch,1.0930999999999999e-117,875.0
XP_003896114.1, 28S ribosomal protein S24,Papio anubis,2.24045e-116,860.0
XP_005549769.1, PREDICTED: 28S ribosomal protein S24,Macaca fascicularis,9.229139999999999e-116,856.0
XP_025233860.1, 28S ribosomal protein S24,Theropithecus gelada,1.1122000000000001e-115,856.0
XP_011814164.1, PREDICTED: 28S ribosomal protein S24,Colobus angolensis palliatus,3.44416e-115,852.0
XP_010372840.1, 28S ribosomal protein S24,Rhinopithecus roxellana,1.97182e-114,848.0
XP_023082236.1, 28S ribosomal protein S24,Piliocolobus tephrosceles,1.14366e-113,849.0
XP_007979689.1, 28S ribosomal protein S24,Chlorocebus sabaeus,3.09999e-112,840.0
XP_033049887.1, 28S ribosomal protein S24,Trachypithecus francoisi,7.38526e-112,831.0
XP_012352229.1, 28S ribosomal protein S24,Nomascus leucogenys,3.18437e-111,827.0
XP_039317973.1, 28S ribosomal protein S24,Saimiri boliviensis boliviensis,1.0059e-110,823.0
XP_032100294.1, 28S ribosomal protein S24,Sapajus apella,1.70331e-110,822.0
XP_033091503.1, 28S ribosomal protein S24,Trachypithecus francoisi,1.13684e-109,816.0
XP_017370857.1, 28S ribosomal protein S24,Cebus imitator,4.05945e-109,813.0
XP_012294652.2, 28S ribosomal protein S24,Aotus nancymaae,1.10179e-108,810.0
XP_047619392.1, 28S ribosomal protein S24,Phacochoerus africanus,2.70918e-108,807.0
XP_003134910.2, 28S ribosomal protein S24,Sus scrofa,3.72414e-108,806.0
XP_026358414.1, 28S ribosomal protein S24,Ursus arctos,3.8067599999999996e-108,806.0
XP_006106854.1, 28S ribosomal protein S24,Myotis lucifugus,4.43881e-108,806.0
XP_036183017.1, 28S ribosomal protein S24,Myotis myotis,8.29611e-108,804.0
XP_002751409.2, 28S ribosomal protein S24,Callithrix jacchus,1.27265e-107,803.0
XP_040500372.1, 28S ribosomal protein S24,Ursus maritimus,1.50032e-107,802.0
XP_045649481.1, 28S ribosomal protein S24,Ursus americanus,1.7882300000000002e-107,802.0
XP_008525508.1, PREDICTED: 28S ribosomal protein S24,Equus przewalskii,2.8040600000000005e-107,801.0
XP_045420720.1, 28S ribosomal protein S24,Lemur catta,7.0476e-107,798.0
XP_022373907.1, 28S ribosomal protein S24,Enhydra lutris kenyoni,8.12802e-107,798.0
XP_011229080.2, 28S ribosomal protein S24,Ailuropoda melanoleuca,1.1051e-106,797.0
XP_021791528.1, 28S ribosomal protein S24,Papio anubis,1.4250700000000002e-106,801.0
XP_032161532.1, 28S ribosomal protein S24,Mustela erminea,2.2059e-106,795.0
XP_004739542.1, 28S ribosomal protein S24,Mustela putorius furo,2.71718e-106,794.0
